Word,Count
\USE,\,1
integer,1
nothing,1
header,1
\!XXH_NAMESPACE,\,1
DISCLAIMED,1
manipulation,1
info,1
\Fowler,\,1
inline,1
\je,\,1
max,1
better,1
fast,1
tests,1
allocation,1
OWNER,1
(allocated,1
link,1
EVEN,1
they,1
\anytime,\,1
0.33,1
1.9,1
MERCHANTABILITY,1
repository,1
\OK,\,1
strings,1
CityHash64,1
includes,1
OK,1
NEGLIGENCE,1
Extremely,1
Rivest,1
warning,1
own,1
GHz,1
compile,1
Collet,1
disable,1
CAUSED,1
continue,1
No,1
running,1
algorithm,1
ADVISED,1
\`static`,\,1
STRICT,1
passing,1
C,1
CRC32,1
\CONTRACT,\,1
Add,1
ktorom,1
\bits,\,1
Seven,1
becoming,1
BY,1
nn-bits,1
distribution,1
\WARRANTIES,\,1
SHALL,1
prefix,1
dynamic,1
human-readable,1
`xxhash.h`,1
================================================================================================,1
first),1
duplicit,1
Pike,1
much,1
struct,1
tMaps,1
\DATA,\,1
structures,1
3.2,1
read-accessible),1
For,1
still,1
reenter,1
\systems,\,1
Header,1
1,1
score,1
\algorithm,\,1
SHA1-32,1
input+length,1
Windows,1
PROCUREMENT,1
inserting,1
test,1
regular,1
offers,1
Warden,1
reproduce,1
comparable,1
SUBSTITUTE,1
Iteratively,1
\done,\,1
its,1
\modification,\,1
Vo,1
EVENT,1
contact,1
all,1
\INCLUDING,\,1
\(INCLUDING,\,1
data),1
necessary,1
Yann,1
warnings,1
dynamically,1
order,1
0,1
File,1
DAMAGE,1
ARE,1
MD5-32,1
#define,1
expose_,1
@3GHz),1
SUCH,1
Namespace,1
Hashmap,1
these,1
WHETHER,1
\allocated,\,1
\(item,\,1
FITNESS,1
\xxHash,\,1
file,1
https://github.com/Cyan4973/xxHash,1
PURPOSE,1
\way,\,1
XXH32_state_t,1
put,1
Memory,1
FNV,1
WAY,1
CODE_UTILS_H,1
extracted,1
between,1
materials,1
accessible,1
6.0,1
Lookup3,1
PARTICULAR,1
was,1
\2012-2016,\,1
NO,1
meant,1
PROVIDED,1
deadlock,1
2-Clause,1
Free,1
SpookyHash,1
take,1
many,1
shall,1
(INCLUDING,1
met:,1
digits,1
\digest,\,1
L,1
space,1
stack,1
1.4,1
Paul,1
Mulvey,1
synchronization,1
(http://www.opensource.org/licenses/bsd-license.php),1
faster,1
\XXH_NAMESPACE,\,1
\version,\,1
extremely,1
set,1
arguments,1
XXHASH_H_5627135585666179,1
Alakuijala,1
BSD,1
HOWEVER,1
OUT,1
documentation,1
speed,1
Ronald,1
thread,1
first,1
2.0,1
required,1
XXH32(),1
===================================================================================================,1
